timestamp_utc,action_kw,actual_kw,charge_ac_kwh,discharge_ac_kwh,loss_kwh,soc_kwh,soc_fraction,capacity_kwh
2024-01-01 00:15:00+00:00,-4.050,-4.050,0.000,1.012,0.042,23.945,0.479,50.000
2024-01-01 00:30:00+00:00,-3.770,-3.770,0.000,0.943,0.039,22.964,0.459,50.000
2024-01-01 00:45:00+00:00,-3.110,-3.110,0.000,0.777,0.032,22.154,0.443,50.000
2024-01-01 01:00:00+00:00,-1.990,-1.990,0.000,0.497,0.021,21.635,0.433,50.000
2024-01-01 01:15:00+00:00,-1.690,-1.690,0.000,0.422,0.018,21.195,0.424,50.000
2024-01-01 01:30:00+00:00,-1.565,-1.565,0.000,0.391,0.016,20.788,0.416,50.000
2024-01-01 01:45:00+00:00,-1.710,-1.710,0.000,0.427,0.018,20.342,0.407,50.000
2024-01-01 02:00:00+00:00,-1.510,-1.510,0.000,0.378,0.016,19.949,0.399,50.000
2024-01-01 02:15:00+00:00,-1.750,-1.750,0.000,0.438,0.018,19.493,0.390,50.000
2024-01-01 02:30:00+00:00,-1.670,-1.670,0.000,0.417,0.017,19.059,0.381,50.000
2024-01-01 02:45:00+00:00,-1.855,-1.855,0.000,0.464,0.019,18.576,0.372,50.000
2024-01-01 03:00:00+00:00,-1.570,-1.570,0.000,0.393,0.016,18.167,0.363,50.000
2024-01-01 03:15:00+00:00,-1.940,-1.940,0.000,0.485,0.020,17.661,0.353,50.000
2024-01-01 03:30:00+00:00,-3.600,-3.600,0.000,0.900,0.038,16.724,0.334,50.000
2024-01-01 03:45:00+00:00,-2.935,-2.935,0.000,0.734,0.031,15.960,0.319,50.000
2024-01-01 04:00:00+00:00,-1.705,-1.705,0.000,0.426,0.018,15.516,0.310,50.000
2024-01-01 04:15:00+00:00,-1.125,-1.125,0.000,0.281,0.012,15.223,0.304,50.000
2024-01-01 04:30:00+00:00,-1.125,-1.125,0.000,0.281,0.012,14.930,0.299,50.000
2024-01-01 04:45:00+00:00,-1.165,-1.165,0.000,0.291,0.012,14.626,0.293,50.000
2024-01-01 05:00:00+00:00,-1.225,-1.225,0.000,0.306,0.013,14.307,0.286,50.000
2024-01-01 05:15:00+00:00,-1.565,-1.565,0.000,0.391,0.016,13.900,0.278,50.000
2024-01-01 05:30:00+00:00,-1.860,-1.860,0.000,0.465,0.019,13.415,0.268,50.000
2024-01-01 05:45:00+00:00,-1.765,-1.765,0.000,0.441,0.018,12.956,0.259,50.000
2024-01-01 06:00:00+00:00,-1.565,-1.565,0.000,0.391,0.016,12.548,0.251,50.000
2024-01-01 06:15:00+00:00,-1.225,-1.225,0.000,0.306,0.013,12.229,0.245,50.000
2024-01-01 06:30:00+00:00,-3.580,-3.580,0.000,0.895,0.037,11.297,0.226,50.000
2024-01-01 06:45:00+00:00,-4.130,-4.130,0.000,1.032,0.043,10.221,0.204,50.000
2024-01-01 07:00:00+00:00,-3.815,-3.815,0.000,0.954,0.040,9.228,0.185,50.000
2024-01-01 07:15:00+00:00,-3.710,-3.710,0.000,0.927,0.039,8.262,0.165,50.000
2024-01-01 07:30:00+00:00,-4.521,-4.521,0.000,1.130,0.047,7.084,0.142,50.000
2024-01-01 07:45:00+00:00,-0.518,-0.518,0.000,0.129,0.005,6.950,0.139,50.000
2024-01-01 08:00:00+00:00,0.000,0.000,0.000,0.000,0.000,6.950,0.139,50.000
2024-01-01 08:15:00+00:00,0.000,0.000,0.000,0.000,0.000,6.950,0.139,50.000
2024-01-01 08:30:00+00:00,0.000,0.000,0.000,0.000,0.000,6.950,0.139,50.000
2024-01-01 08:45:00+00:00,0.000,0.000,0.000,0.000,0.000,6.950,0.139,50.000
2024-01-01 09:00:00+00:00,0.000,0.000,0.000,0.000,0.000,6.950,0.139,50.000
2024-01-01 09:15:00+00:00,0.000,0.000,0.000,0.000,0.000,6.950,0.139,50.000
2024-01-01 09:30:00+00:00,0.000,0.000,0.000,0.000,0.000,6.950,0.139,50.000
2024-01-01 09:45:00+00:00,-2.104,-2.104,0.000,0.526,0.022,6.402,0.128,50.000
2024-01-01 10:00:00+00:00,-0.827,-0.827,0.000,0.207,0.009,6.186,0.124,50.000
2024-01-01 10:15:00+00:00,0.000,0.000,0.000,0.000,0.000,6.186,0.124,50.000
2024-01-01 10:30:00+00:00,0.000,0.000,0.000,0.000,0.000,6.186,0.124,50.000
2024-01-01 10:45:00+00:00,0.000,0.000,0.000,0.000,0.000,6.186,0.124,50.000
2024-01-01 11:00:00+00:00,5.673,5.673,1.418,0.000,0.057,7.548,0.151,50.000
2024-01-01 11:15:00+00:00,0.000,0.000,0.000,0.000,0.000,7.548,0.151,50.000
2024-01-01 11:30:00+00:00,20.938,20.938,5.234,0.000,0.209,12.573,0.251,50.000
2024-01-01 11:45:00+00:00,23.147,23.147,5.787,0.000,0.231,18.128,0.363,50.000
2024-01-01 12:00:00+00:00,19.656,19.656,4.914,0.000,0.197,22.846,0.457,50.000
2024-01-01 12:15:00+00:00,13.619,13.619,3.405,0.000,0.136,26.114,0.522,50.000
2024-01-01 12:30:00+00:00,16.331,16.331,4.083,0.000,0.163,30.034,0.601,50.000
2024-01-01 12:45:00+00:00,10.988,10.988,2.747,0.000,0.110,32.671,0.653,50.000
2024-01-01 13:00:00+00:00,7.444,7.444,1.861,0.000,0.074,34.457,0.689,50.000
2024-01-01 13:15:00+00:00,17.952,17.952,4.488,0.000,0.180,38.766,0.775,50.000
2024-01-01 13:30:00+00:00,17.709,17.709,4.427,0.000,0.177,43.016,0.860,50.000
2024-01-01 13:45:00+00:00,11.069,11.069,2.767,0.000,0.111,45.673,0.913,50.000
2024-01-01 14:00:00+00:00,2.709,2.709,0.677,0.000,0.027,46.323,0.926,50.000
2024-01-01 14:15:00+00:00,1.971,1.971,0.493,0.000,0.020,46.796,0.936,50.000
2024-01-01 14:30:00+00:00,2.742,2.742,0.686,0.000,0.027,47.454,0.949,50.000
2024-01-01 14:45:00+00:00,0.191,0.191,0.048,0.000,0.002,47.500,0.950,50.000
2024-01-01 15:00:00+00:00,-2.171,-2.171,0.000,0.543,0.023,46.935,0.939,50.000
2024-01-01 15:15:00+00:00,-4.129,-4.129,0.000,1.032,0.043,45.859,0.917,50.000
2024-01-01 15:30:00+00:00,-4.901,-4.901,0.000,1.225,0.051,44.583,0.892,50.000
2024-01-01 15:45:00+00:00,-4.860,-4.860,0.000,1.215,0.051,43.317,0.866,50.000
2024-01-01 16:00:00+00:00,-4.815,-4.815,0.000,1.204,0.050,42.064,0.841,50.000
2024-01-01 16:15:00+00:00,-4.670,-4.670,0.000,1.168,0.049,40.847,0.817,50.000
2024-01-01 16:30:00+00:00,-5.370,-5.370,0.000,1.343,0.056,39.449,0.789,50.000
2024-01-01 16:45:00+00:00,-5.560,-5.560,0.000,1.390,0.058,38.001,0.760,50.000
2024-01-01 17:00:00+00:00,-4.755,-4.755,0.000,1.189,0.050,36.763,0.735,50.000
2024-01-01 17:15:00+00:00,-5.450,-5.450,0.000,1.363,0.057,35.343,0.707,50.000
2024-01-01 17:30:00+00:00,-4.750,-4.750,0.000,1.188,0.049,34.106,0.682,50.000
2024-01-01 17:45:00+00:00,-4.650,-4.650,0.000,1.163,0.048,32.895,0.658,50.000
2024-01-01 18:00:00+00:00,-4.510,-4.510,0.000,1.128,0.047,31.721,0.634,50.000
2024-01-01 18:15:00+00:00,-4.590,-4.590,0.000,1.148,0.048,30.525,0.611,50.000
2024-01-01 18:30:00+00:00,-4.530,-4.530,0.000,1.133,0.047,29.346,0.587,50.000
2024-01-01 18:45:00+00:00,-5.650,-5.650,0.000,1.413,0.059,27.874,0.557,50.000
2024-01-01 19:00:00+00:00,-4.835,-4.835,0.000,1.209,0.050,26.615,0.532,50.000
