profile_id,annual_energy_kwh,annual_peak_kw,energy_cost_eur,peak_cost_eur,total_cost_eur
LG 01,38470.46000000001,8.44,9617.615000000002,844.0,10461.615000000002
LG 02,38177.8205,8.45,9544.455125,844.9999999999999,10389.455125
LG 03,12940.556249999998,8.94,3235.1390624999995,894.0,4129.139062499999
LG 04,40858.75375,9.39,10214.6884375,939.0,11153.6884375
LG 05,17571.4125,9.825,4392.853125,982.4999999999999,5375.353125
LG 06,59245.099,10.296,14811.27475,1029.6,15840.87475
LG 07,56434.596000000005,11.55,14108.649000000001,1155.0,15263.649000000001
LG 08,38538.088749999995,13.6,9634.522187499999,1360.0,10994.522187499999
LG 09,52105.29,15.018,13026.3225,1501.8000000000002,14528.122500000001
LG 10,76465.557875,18.8965,19116.38946875,1889.6499999999999,21006.03946875
LG 11,50436.8395,20.502,12609.209875,2050.2,14659.409875000001
LG 12,39381.765,20.88,9845.44125,2088.0,11933.44125
LG 13,41961.261,22.17,10490.31525,2217.0,12707.31525
LG 14,51444.03375,26.175,12861.0084375,2617.5,15478.5084375
LG 15,26883.759749999997,26.775,6720.939937499999,2677.5,9398.4399375
LG 16,57486.44,28.78,14371.61,2878.0,17249.61
LG 17,32851.44825,29.288,8212.8620625,2928.8,11141.6620625
LG 18,65465.65,31.0,16366.4125,3100.0,19466.4125
LG 19,95197.24375000001,41.125,23799.310937500002,4112.5,27911.810937500002
LG 20,145688.125,45.25,36422.03125,4525.0,40947.03125
LG 21,188542.0675,51.7,47135.516875,5170.0,52305.516875
LG 22,44575.424999999996,52.1,11143.856249999999,5210.0,16353.856249999999
LG 23,108185.15,59.9,27046.2875,5990.0,33036.2875
LG 24,202866.468,63.0,50716.617,6300.0,57016.617
LG 25,75675.823,64.837,18918.95575,6483.700000000001,25402.65575
LG 26,155135.116,72.74,38783.779,7273.999999999999,46057.779
LG 27,312883.94575,81.403,78220.9864375,8140.3,86361.2864375
LG 28,312883.94575,81.403,78220.9864375,8140.3,86361.2864375
LG 29,388036.875,115.0,97009.21875,11500.0,108509.21875
LG 30,526548.625,168.5,131637.15625,16850.0,148487.15625
