weekday_no,weekday,firm,mean_daily_kwh,std_daily_kwh,n_days,cv_daily_kwh
0,Monday,LG 1,2083.0106382978724,636.3026286370764,47,0.30547257749822615
0,Monday,LG 10,1508.4888235294115,129.06496823920972,51,0.08555911467559726
0,Monday,LG 11,46725.206666666665,8976.353978519439,45,0.19210945480789254
0,Monday,LG 12,1196.057,196.02651757971776,52,0.16389395955185895
0,Monday,LG 13,35920.613333333335,7162.376034580094,45,0.1993945918493994
0,Monday,LG 14,5019.6484782608695,207.59305570667084,46,0.04135609427746113
0,Monday,LG 15,60935.27692307692,2918.628313908971,52,0.04789718634730043
0,Monday,LG 16,1136.9889777777778,189.77269615773704,45,0.1669081230045378
0,Monday,LG 17,246.64363636363635,120.41438835336852,44,0.4882120217196153
0,Monday,LG 18,6063.96,711.3679143031405,45,0.11731078607100649
0,Monday,LG 19,292.22038461538466,102.10800881211355,52,0.349421238858837
0,Monday,LG 2,21830.66375,1575.9012301410596,48,0.07218750873486655
0,Monday,LG 20,21039.5,2387.623199644002,47,0.11348288693381506
0,Monday,LG 3,637.9777291666667,346.2242249524199,48,0.5426901428121349
0,Monday,LG 4,48601.79,7369.8026562134355,50,0.15163644499952442
0,Monday,LG 5,1317.5217021276594,90.97330251756732,47,0.06904880759888431
0,Monday,LG 6,936.5126666666666,180.6161115762077,45,0.19286029757512554
0,Monday,LG 7,6956.912636363637,1008.5733868137384,44,0.14497427803562551
0,Monday,LG 8,14669.958333333334,2504.31741206154,48,0.17071060156804851
0,Monday,LG 9,9838.63829787234,1142.3777629505912,47,0.11611136911066613
1,Tuesday,LG 1,2110.015,613.9917764564299,50,0.2909892946052184
1,Tuesday,LG 10,1531.444705882353,122.1908523966168,51,0.07978796226026043
1,Tuesday,LG 11,54981.44583333333,11939.265672498155,48,0.2171508131795944
1,Tuesday,LG 12,1235.0,137.42339714239665,52,0.11127400578331713
1,Tuesday,LG 13,36552.86666666667,6344.575868571255,48,0.17357259353770488
1,Tuesday,LG 14,5168.127142857143,233.63883797969035,49,0.04520764128309074
1,Tuesday,LG 15,61997.553846153845,2727.550433491525,52,0.04399448468982998
1,Tuesday,LG 16,1198.9715416666666,199.89154144429665,48,0.16671917097084005
1,Tuesday,LG 17,244.0005319148936,101.14452960359573,47,0.41452585701278116
1,Tuesday,LG 18,6004.974489795918,722.6568631707273,49,0.1203430363274178
1,Tuesday,LG 19,330.1574038461539,97.90571106582242,52,0.29654252767096606
1,Tuesday,LG 2,22371.263076923075,1793.6391048822768,52,0.0801760320244275
1,Tuesday,LG 20,22364.254901960783,1939.423456526576,51,0.08671978856566052
1,Tuesday,LG 3,786.2634901960785,588.0746283263163,51,0.7479358200641648
1,Tuesday,LG 4,47161.97843137255,9242.976323421231,51,0.19598364256221967
1,Tuesday,LG 5,1354.5714285714287,80.3616707972982,49,0.059326270362907337
1,Tuesday,LG 6,958.5,169.41672717835777,47,0.17675193237178694
1,Tuesday,LG 7,7335.986565217391,972.8356848882245,46,0.13261143218293175
1,Tuesday,LG 8,16180.54,2045.2969267995072,50,0.1264047384574005
1,Tuesday,LG 9,10600.204081632653,1124.2493742047004,49,0.1060592197609409
2,Wednesday,LG 1,2179.7,574.1480223170784,50,0.2634069010951408
2,Wednesday,LG 10,1526.2564705882353,92.23973646587535,51,0.06043527955057592
2,Wednesday,LG 11,51791.683,11249.28316033465,50,0.21720250257815815
2,Wednesday,LG 12,1234.7922115384615,147.74701758050733,52,0.11965334426301999
2,Wednesday,LG 13,36004.468,6668.8104603518295,50,0.18522174693295926
2,Wednesday,LG 14,5152.534000000001,350.9417526063958,50,0.06811051661306762
2,Wednesday,LG 15,62466.20769230769,2729.9581523651873,52,0.04370295961957947
2,Wednesday,LG 16,1207.6829791666667,165.61965299579145,48,0.13713835158136733
2,Wednesday,LG 17,256.51437500000003,101.893461536334,48,0.39722320254501914
2,Wednesday,LG 18,5841.4169999999995,793.3842560293887,50,0.1358205134181293
2,Wednesday,LG 19,335.09288461538466,88.18111600533987,52,0.26315424783356123
2,Wednesday,LG 2,22082.597307692307,2115.8483279346788,52,0.09581519322446906
2,Wednesday,LG 20,22344.8,2334.052584966275,50,0.10445618600149811
2,Wednesday,LG 3,614.3225961538462,337.25793275562614,52,0.5489915801032424
2,Wednesday,LG 4,47235.142,7626.0687731151265,50,0.16144904937758262
2,Wednesday,LG 5,1350.808,92.07926771460092,50,0.06816606632075092
2,Wednesday,LG 6,947.2879591836735,185.47086547914105,49,0.19579143140272867
2,Wednesday,LG 7,7529.214666666667,851.1140005941984,48,0.11304153730165904
2,Wednesday,LG 8,14209.14,1704.1954593512653,50,0.11993656613639286
2,Wednesday,LG 9,10617.79,1094.2839709516136,50,0.10306136879252778
3,Thursday,LG 1,2164.8979591836733,543.0600170138488,49,0.25084785853769415
3,Thursday,LG 10,1510.5923529411766,77.76575484333028,51,0.051480304856513816
3,Thursday,LG 11,53704.80104166667,12530.95660063377,48,0.23333028626084423
3,Thursday,LG 12,1216.497826923077,149.06162508285624,52,0.12253340843187703
3,Thursday,LG 13,35976.2125,6930.454418849842,48,0.1926399122433981
3,Thursday,LG 14,5131.423541666666,404.21609726381485,48,0.07877270195718965
3,Thursday,LG 15,62166.123076923075,2769.7081871218766,52,0.0445533362872685
3,Thursday,LG 16,1166.919574468085,172.7976613917768,47,0.14808018065044704
3,Thursday,LG 17,239.79937500000003,89.25507634186728,48,0.3722072934588227
3,Thursday,LG 18,5929.596875,643.6423280255866,48,0.10854740070767233
3,Thursday,LG 19,342.289,90.58521755107458,50,0.2646454240453961
3,Thursday,LG 2,21941.84,2495.429788463704,51,0.11372928562343468
3,Thursday,LG 20,21933.48979591837,2554.6331326830546,49,0.11647180437097837
3,Thursday,LG 3,731.09314,560.7921185661572,50,0.7670597464040728
3,Thursday,LG 4,47489.1081632653,5957.693568747779,49,0.1254538945702141
3,Thursday,LG 5,1352.215,96.23809645099301,48,0.07117070617541812
