station_id,station_name,latitude,longitude,height_m_amsl
00003,Aachen Nordrhein-Westfalen,50.7827,6.0941,202.0
00044,Großenkneten Niedersachsen,52.9336,8.237,44.0
00071,Albstadt-Badkap Baden-Württemberg,48.2156,8.9784,759.0
00073,Aldersbach-Kramersepp Bayern,48.6183,13.062,374.0
00078,Alfhausen Niedersachsen,52.4853,7.9125,64.0
00091,Alsfeld-Eifa Hessen,50.7446,9.345,304.0
00096,Neuruppin-Alt Ruppin Brandenburg,52.9437,12.8518,50.0
00102,Leuchtturm Alte Weser Niedersachsen,53.8633,8.1275,0.0
00106,Altenau,51.7976,10.4429,500.0
00131,Geringswalde-Altgeringswalde Sachsen,51.0881,12.9326,296.0
00142,Altomünster-Maisbrunn Bayern,48.406,11.3117,511.0
00150,Alzey Rheinland-Pfalz,49.7273,8.1164,215.0
00151,Amberg-Unterammersricht Bayern,49.4691,11.8546,382.0
00154,Amerang-Pfaffing Bayern,48.0197,12.2925,516.0
00161,Andernach Rheinland-Pfalz,50.4237,7.4202,75.0
00164,Angermünde Brandenburg,53.0316,13.9908,54.0
00167,Anklam Mecklenburg-Vorpommern,53.8409,13.6854,11.0
00183,Arkona Mecklenburg-Vorpommern,54.6791,13.4344,42.0
00191,Arnstein-Müdesheim Bayern,49.9694,9.9114,217.0
00198,Artern Thüringen,51.3744,11.292,164.0
00217,Attenkam Bayern,47.8774,11.3643,670.0
00222,Aue Sachsen,50.5908,12.7139,393.0
00232,Augsburg Bayern,48.4253,10.9417,462.0
00257,Baden-Baden-Geroldsau Baden-Württemberg,48.727,8.2457,240.0
00259,Müllheim Baden-Württemberg,47.8064,7.6387,275.0
00268,Baiersbronn-Obertal Baden-Württemberg,48.5293,8.2727,622.0
00282,Bamberg Bayern,49.8743,10.9206,240.0
00294,Barsinghausen-Hohenbostel Niedersachsen,52.3199,9.43,110.0
00298,Barth Mecklenburg-Vorpommern,54.3405,12.7108,3.0
00303,Baruth Brandenburg,52.0613,13.4997,55.0
00314,"Kubschütz, Kr. Bautzen Sachsen",51.1604,14.5042,234.0
00320,Heinersreuth-Vollhof Bayern,49.9666,11.5198,350.0
00326,Beckum-Unterberg Nordrhein-Westfalen,51.7204,8.0577,120.0
