date,LG 1,LG 2,LG 3,LG 4,LG 5,LG 6,LG 7,LG 8,LG 9,LG 10,LG 11,LG 12,LG 13,LG 14,LG 15,LG 16,LG 17,LG 18,LG 19,LG 20,weekday,month,season
2016-01-01,949.750,8112.480,271.558,10137.500,458.720,4.440,166.516,2875.000,1332.000,1445.850,6186.000,647.644,798.600,1494.500,56929.600,144.755,32.580,618.000,231.270,5304.000,4,1,winter
2016-01-02,964.000,8751.780,282.310,24232.000,376.080,4.590,172.006,3044.000,1762.500,1473.630,6534.500,637.107,878.200,1503.000,54687.600,146.463,41.205,635.700,303.740,5779.000,5,1,winter
2016-01-03,941.000,9132.240,274.701,33629.800,314.320,4.590,148.522,3330.000,1746.000,1511.850,6881.250,639.055,713.400,1507.500,53377.200,146.955,45.195,628.350,290.495,6014.000,6,1,winter
2016-01-04,1034.500,20864.100,1032.968,46757.200,486.560,4.680,157.516,12378.000,4431.500,1482.480,20022.750,1121.513,35196.800,2140.500,52662.000,984.910,43.620,1670.250,407.045,18049.000,0,1,winter
2016-01-05,1018.750,22548.420,1268.463,56218.500,478.960,4.710,158.020,15060.000,4841.000,1551.690,25364.250,1061.872,27681.800,1501.750,53574.400,977.728,41.250,1691.550,364.190,21072.000,1,1,winter
2016-01-06,947.250,21312.240,272.059,54545.900,478.880,4.710,167.007,3470.000,1931.000,1595.490,28202.500,664.588,34451.800,1254.250,54882.000,142.467,42.825,1010.400,276.850,10261.000,2,1,winter
2016-01-07,1083.250,21903.480,487.217,51903.000,583.360,694.800,7053.508,10651.000,6276.000,1583.100,27376.500,1086.696,35112.000,1904.750,56484.000,1042.931,41.745,6171.300,420.985,19943.000,3,1,winter
2016-01-08,1023.750,16734.300,792.039,55378.700,487.280,734.910,7452.024,15944.000,6745.500,1561.680,24343.000,886.620,38394.400,1831.000,60517.200,1042.193,43.800,5284.650,376.260,17063.500,4,1,winter
2016-01-09,958.500,10363.500,194.144,55483.200,328.800,194.490,201.004,3025.000,2491.500,1559.880,12059.750,636.565,2650.000,1597.500,57804.800,147.856,31.740,831.450,243.990,11346.000,5,1,winter
2016-01-10,958.000,8292.360,182.449,51526.200,268.480,3.960,166.006,2998.000,1811.000,1501.800,8156.250,630.989,782.800,1797.750,55078.000,141.653,65.280,1033.800,236.860,7897.500,6,1,winter
2016-01-11,3024.250,20551.380,545.154,52779.800,1314.720,875.880,7756.515,15158.000,8575.000,1438.290,46843.500,1227.574,35848.200,5012.250,55951.200,1043.498,330.135,6134.700,399.480,20736.000,0,1,winter
2016-01-12,3008.750,21378.300,586.024,55938.400,1390.640,856.710,8069.514,21086.000,10173.500,1522.320,78285.000,1184.700,39155.200,5231.750,55285.600,1133.426,417.405,6967.050,441.330,23933.500,1,1,winter
2016-01-13,2796.250,21749.580,1917.678,56262.300,1451.360,890.430,7757.500,17281.000,9600.500,1535.790,70659.250,1232.699,30582.000,5226.750,54731.200,1131.790,382.830,6360.450,454.150,24629.000,2,1,winter
2016-01-14,2954.250,21832.380,2339.391,53299.400,1426.720,827.790,7994.550,20527.000,9978.500,1504.290,64690.250,1216.618,33222.200,5330.750,53529.200,1160.590,303.060,5749.800,479.000,24799.000,3,1,winter
2016-01-15,2621.750,16371.840,2202.389,55913.600,1414.080,776.310,8092.000,20811.000,10186.500,1561.380,67509.000,1016.858,37436.600,4137.500,54322.800,1169.405,261.765,4275.450,484.665,22424.000,4,1,winter
2016-01-16,1113.250,10874.700,239.218,54193.800,450.240,214.170,374.508,11374.000,2169.000,1576.440,22091.250,608.720,2951.200,2481.250,55061.600,147.445,32.985,1981.650,361.890,11717.500,5,1,winter
2016-01-17,1137.000,9241.740,228.376,44010.700,393.280,33.300,163.000,5997.000,2005.000,1386.030,8221.000,605.568,1952.200,2367.250,55010.400,141.488,28.950,987.000,369.015,8284.000,6,1,winter
2016-01-18,3142.250,21743.880,531.559,54155.800,1355.440,876.720,6580.019,21339.000,10342.000,1425.000,60677.500,1151.287,35682.200,5314.250,56952.400,1205.802,373.335,6782.100,585.705,22647.500,0,1,winter
2016-01-19,3362.250,22117.920,1142.800,54400.500,1420.640,1048.350,7104.000,21627.000,10562.500,1286.370,72764.750,1168.985,41281.200,5332.500,59272.000,973.401,385.950,6585.600,545.510,23582.500,1,1,winter
2016-01-20,2891.250,21081.480,932.529,53983.300,1404.080,1001.370,8857.500,19061.000,10083.000,1413.960,57808.500,1173.316,37516.200,5465.750,60130.800,1064.799,382.305,5559.900,517.050,24045.500,2,1,winter
2016-01-21,2858.500,22069.740,2715.277,46643.500,1486.160,1067.970,6376.017,20462.000,9173.000,1408.860,69798.500,1186.117,34529.000,5084.750,59718.400,947.540,356.325,5369.700,541.330,23919.000,3,1,winter
2016-01-22,2444.500,16644.060,2273.146,51251.600,1390.560,936.270,8312.018,17753.000,9130.000,1377.300,67327.250,829.947,39014.200,4315.750,58989.200,972.100,255.060,5340.900,597.425,21474.500,4,1,winter
2016-01-23,1199.000,10139.280,222.576,53269.000,482.080,334.350,523.026,6580.000,1265.000,1506.180,38347.250,635.506,15014.800,2607.750,58976.400,152.669,53.325,2075.100,336.790,11566.500,5,1,winter
2016-01-24,1198.500,8246.580,264.185,52823.700,423.920,66.900,153.523,5539.000,1139.500,1509.360,8231.250,626.971,1457.000,2299.250,57617.200,145.646,38.025,1046.100,306.100,6963.000,6,1,winter
2016-01-25,2491.500,23239.080,498.170,54350.100,1434.720,1172.070,7595.560,14525.000,9658.500,1395.750,54282.750,1240.372,40843.600,5003.250,58406.800,1002.375,303.465,6470.700,363.150,20536.000,0,1,winter
2016-01-26,2451.000,23271.600,727.232,52834.000,1375.680,1174.620,8748.557,16545.000,10871.000,1452.840,66403.250,1226.722,42081.800,5286.250,60416.000,991.848,241.020,6300.750,385.280,23832.500,1,1,winter
2016-01-27,2558.750,22317.120,567.186,47892.700,1369.440,1130.280,8549.012,12500.000,10780.500,1381.680,51945.750,1241.664,43442.000,5025.500,60295.600,1009.147,293.925,6119.250,379.280,22965.000,2,1,winter
2016-01-28,2743.500,22913.940,1716.318,49636.200,1485.920,1131.540,8940.500,16028.000,11588.000,1375.410,51002.000,1262.508,51795.400,4811.750,60818.000,981.321,285.945,6750.000,351.165,23440.000,3,1,winter
2016-01-29,2095.750,17657.220,1239.472,46921.400,1408.800,1055.100,8209.546,16929.000,10461.000,1417.020,55209.750,870.789,40870.600,4135.500,62558.800,954.071,185.310,5598.000,326.390,22173.000,4,1,winter
2016-01-30,1023.250,10924.260,225.738,54017.600,542.880,296.040,373.031,6601.000,3223.000,1513.050,35623.000,646.824,19541.600,2760.250,61632.800,291.060,50.955,2159.400,219.280,13199.500,5,1,winter
2016-01-31,969.250,8982.060,199.174,52424.600,323.200,41.910,158.007,3304.000,1899.000,1496.700,8359.500,641.136,724.600,2206.750,61420.000,384.416,28.635,845.550,258.360,7938.500,6,1,winter
2016-02-01,2991.000,22547.880,476.141,44657.400,1383.600,994.410,8162.022,13632.000,9782.000,1399.860,44807.500,1216.804,41921.600,4920.500,64448.000,1011.761,345.720,5333.850,307.460,20922.000,0,2,winter
2016-02-02,2900.250,24064.440,1683.957,52656.500,1447.280,1172.820,7781.528,15824.000,10794.500,1329.090,63002.750,1256.792,43734.200,5037.250,64019.200,1089.277,313.485,5583.150,360.060,23093.500,1,2,winter
2016-02-03,2725.750,22943.100,617.477,50833.100,1462.960,1093.320,6912.023,12788.000,10627.500,1392.780,59938.750,1266.453,40556.800,5033.250,64700.000,1223.756,399.060,5375.250,419.215,23400.000,2,2,winter
2016-02-04,2545.000,23329.680,2259.367,53909.400,1509.280,1101.360,7562.511,14640.000,10725.500,1353.810,62411.500,1258.861,36121.000,4912.250,62484.400,1015.509,339.255,6323.700,472.855,21987.500,3,2,winter
2016-02-05,2279.750,18572.760,1860.262,50455.200,1323.920,758.580,7959.048,15322.000,8284.000,1421.430,63308.000,834.000,39153.400,4841.750,57636.400,1192.176,249.390,5427.000,448.490,21397.000,4,2,winter
2016-02-06,917.500,11712.360,223.947,52444.600,445.280,291.990,146.527,5298.000,2025.500,1450.140,27338.000,650.551,2824.000,1692.250,57110.000,142.472,38.970,1445.550,246.995,9975.500,5,2,winter
2016-02-07,930.750,8883.600,210.197,49654.700,401.040,3.420,162.513,488.000,1584.500,1450.920,8264.000,637.130,1447.600,1770.000,56159.600,141.816,28.170,1012.200,247.395,7556.000,6,2,winter
2016-02-08,1141.000,23060.460,450.557,47835.000,1389.360,534.210,6735.023,11203.000,7304.000,1517.400,56783.000,1202.867,44322.000,4698.250,55806.400,1205.641,81.540,6133.200,332.295,19442.000,0,2,winter
2016-02-09,1119.000,24195.480,2150.599,46083.700,1392.880,935.460,8337.515,17411.000,8651.000,1479.240,73044.000,1207.176,48632.000,4955.750,59377.600,1176.673,53.610,6532.200,342.855,20957.000,1,2,winter
2016-02-10,2762.500,22678.800,737.340,47959.600,1467.760,928.530,8520.026,13273.000,9582.000,1472.190,61131.250,1239.557,38120.800,5107.500,59330.000,1226.937,330.645,6726.300,406.225,19063.000,2,2,winter
2016-02-11,2688.250,22239.720,1809.520,44211.800,1496.720,1178.370,7389.532,16676.000,10222.000,1567.800,57532.750,1193.220,43730.000,5129.500,57916.000,1135.710,325.215,6561.450,399.415,19701.500,3,2,winter
2016-02-12,2277.750,17101.860,440.126,46044.500,1285.200,1095.570,6205.565,14152.000,9789.500,1485.420,59638.250,1080.276,48842.600,4773.750,55813.600,1139.875,205.785,5837.400,395.210,19239.000,4,2,winter
2016-02-13,950.750,10269.000,192.810,48725.100,440.000,614.550,321.524,5986.000,1523.000,1581.090,20030.250,768.710,2921.800,2408.250,54976.000,163.604,35.160,1928.100,267.605,10203.500,5,2,winter
2016-02-14,940.750,9330.840,221.363,50005.700,370.000,57.390,165.016,1594.000,1017.000,1584.510,8491.250,775.364,1314.800,2245.000,54422.000,140.021,29.655,952.200,211.660,7702.000,6,2,winter
2016-02-15,2859.750,22664.100,533.127,56677.800,1406.560,1061.940,5808.512,11573.000,10291.000,1547.490,39808.250,1266.958,48239.200,4928.000,55350.400,996.903,367.545,6558.000,372.135,21881.500,0,2,winter
2016-02-16,2862.250,22765.440,867.667,56968.800,1398.960,1056.720,6518.017,15908.000,10815.000,1515.030,67270.750,1168.368,45260.400,5000.750,57589.200,1208.988,315.135,6334.950,443.855,23566.000,1,2,winter
2016-02-17,3202.750,22790.100,464.014,57724.200,1487.840,1081.710,7759.512,13209.000,10200.000,1464.630,65408.250,1054.088,49108.400,5185.000,59407.600,1210.781,421.710,6084.000,488.325,20767.000,2,2,winter
2016-02-18,2944.250,22019.220,486.531,57562.300,1430.640,1139.250,7962.562,17008.000,10441.000,1417.080,71605.000,1157.395,43782.400,4910.500,60179.600,1235.423,332.565,6388.200,422.200,21809.000,3,2,winter
