timestamp_utc,load_kw,grid_import_kw,grid_import_kwh,energy_cost_eur,grid_peak_so_far_kw,demand_increment_kw,demand_increment_cost_eur
2016-12-31 23:15:00+00:00,4.340,4.340,1.085,0.271,4.340,4.340,434.000
2016-12-31 23:30:00+00:00,4.510,4.510,1.127,0.282,4.510,0.170,17.000
2016-12-31 23:45:00+00:00,3.795,3.795,0.949,0.237,4.510,0.000,0.000
2017-01-01 00:00:00+00:00,4.245,4.245,1.061,0.265,4.510,0.000,0.000
2017-01-01 00:15:00+00:00,4.050,4.050,1.012,0.253,4.510,0.000,0.000
2017-01-01 00:30:00+00:00,3.770,3.770,0.943,0.236,4.510,0.000,0.000
2017-01-01 00:45:00+00:00,3.110,3.110,0.777,0.194,4.510,0.000,0.000
2017-01-01 01:00:00+00:00,1.990,1.990,0.497,0.124,4.510,0.000,0.000
2017-01-01 01:15:00+00:00,1.690,1.690,0.422,0.106,4.510,0.000,0.000
2017-01-01 01:30:00+00:00,1.565,1.565,0.391,0.098,4.510,0.000,0.000
2017-01-01 01:45:00+00:00,1.710,1.710,0.427,0.107,4.510,0.000,0.000
2017-01-01 02:00:00+00:00,1.510,1.510,0.378,0.094,4.510,0.000,0.000
2017-01-01 02:15:00+00:00,1.750,1.750,0.438,0.109,4.510,0.000,0.000
2017-01-01 02:30:00+00:00,1.670,1.670,0.417,0.104,4.510,0.000,0.000
2017-01-01 02:45:00+00:00,1.855,1.855,0.464,0.116,4.510,0.000,0.000
2017-01-01 03:00:00+00:00,1.570,1.570,0.393,0.098,4.510,0.000,0.000
2017-01-01 03:15:00+00:00,1.940,1.940,0.485,0.121,4.510,0.000,0.000
2017-01-01 03:30:00+00:00,3.600,3.600,0.900,0.225,4.510,0.000,0.000
2017-01-01 03:45:00+00:00,2.935,2.935,0.734,0.183,4.510,0.000,0.000
2017-01-01 04:00:00+00:00,1.705,1.705,0.426,0.107,4.510,0.000,0.000
2017-01-01 04:15:00+00:00,1.125,1.125,0.281,0.070,4.510,0.000,0.000
2017-01-01 04:30:00+00:00,1.125,1.125,0.281,0.070,4.510,0.000,0.000
2017-01-01 04:45:00+00:00,1.165,1.165,0.291,0.073,4.510,0.000,0.000
2017-01-01 05:00:00+00:00,1.225,1.225,0.306,0.077,4.510,0.000,0.000
2017-01-01 05:15:00+00:00,1.565,1.565,0.391,0.098,4.510,0.000,0.000
2017-01-01 05:30:00+00:00,1.860,1.860,0.465,0.116,4.510,0.000,0.000
2017-01-01 05:45:00+00:00,1.765,1.765,0.441,0.110,4.510,0.000,0.000
2017-01-01 06:00:00+00:00,1.565,1.565,0.391,0.098,4.510,0.000,0.000
2017-01-01 06:15:00+00:00,1.225,1.225,0.306,0.077,4.510,0.000,0.000
2017-01-01 06:30:00+00:00,3.580,3.580,0.895,0.224,4.510,0.000,0.000
2017-01-01 06:45:00+00:00,4.130,4.130,1.032,0.258,4.510,0.000,0.000
2017-01-01 07:00:00+00:00,3.815,3.815,0.954,0.238,4.510,0.000,0.000
2017-01-01 07:15:00+00:00,3.710,3.710,0.927,0.232,4.510,0.000,0.000
2017-01-01 07:30:00+00:00,4.700,4.700,1.175,0.294,4.700,0.190,19.000
2017-01-01 07:45:00+00:00,3.785,3.785,0.946,0.237,4.700,0.000,0.000
2017-01-01 08:00:00+00:00,3.800,3.800,0.950,0.237,4.700,0.000,0.000
2017-01-01 08:15:00+00:00,4.010,4.010,1.002,0.251,4.700,0.000,0.000
2017-01-01 08:30:00+00:00,4.070,4.070,1.018,0.254,4.700,0.000,0.000
2017-01-01 08:45:00+00:00,3.670,3.670,0.917,0.229,4.700,0.000,0.000
2017-01-01 09:00:00+00:00,3.730,3.730,0.932,0.233,4.700,0.000,0.000
2017-01-01 09:15:00+00:00,5.125,5.125,1.281,0.320,5.125,0.425,42.500
2017-01-01 09:30:00+00:00,5.485,5.485,1.371,0.343,5.485,0.360,36.000
2017-01-01 09:45:00+00:00,5.345,5.345,1.336,0.334,5.485,0.000,0.000
2017-01-01 10:00:00+00:00,4.965,4.965,1.241,0.310,5.485,0.000,0.000
2017-01-01 10:15:00+00:00,5.005,5.005,1.251,0.313,5.485,0.000,0.000
2017-01-01 10:30:00+00:00,4.870,4.870,1.218,0.304,5.485,0.000,0.000
2017-01-01 10:45:00+00:00,4.815,4.815,1.204,0.301,5.485,0.000,0.000
2017-01-01 11:00:00+00:00,4.705,4.705,1.176,0.294,5.485,0.000,0.000
2017-01-01 11:15:00+00:00,4.915,4.915,1.229,0.307,5.485,0.000,0.000
2017-01-01 11:30:00+00:00,5.055,5.055,1.264,0.316,5.485,0.000,0.000
2017-01-01 11:45:00+00:00,4.575,4.575,1.144,0.286,5.485,0.000,0.000
2017-01-01 12:00:00+00:00,4.640,4.640,1.160,0.290,5.485,0.000,0.000
2017-01-01 12:15:00+00:00,5.415,5.415,1.354,0.338,5.485,0.000,0.000
2017-01-01 12:30:00+00:00,4.900,4.900,1.225,0.306,5.485,0.000,0.000
2017-01-01 12:45:00+00:00,4.940,4.940,1.235,0.309,5.485,0.000,0.000
2017-01-01 13:00:00+00:00,4.555,4.555,1.139,0.285,5.485,0.000,0.000
2017-01-01 13:15:00+00:00,4.590,4.590,1.147,0.287,5.485,0.000,0.000
2017-01-01 13:30:00+00:00,4.605,4.605,1.151,0.288,5.485,0.000,0.000
2017-01-01 13:45:00+00:00,5.030,5.030,1.258,0.314,5.485,0.000,0.000
2017-01-01 14:00:00+00:00,5.130,5.130,1.282,0.321,5.485,0.000,0.000
2017-01-01 14:15:00+00:00,5.230,5.230,1.308,0.327,5.485,0.000,0.000
2017-01-01 14:30:00+00:00,5.415,5.415,1.354,0.338,5.485,0.000,0.000
2017-01-01 14:45:00+00:00,5.270,5.270,1.317,0.329,5.485,0.000,0.000
2017-01-01 15:00:00+00:00,5.205,5.205,1.301,0.325,5.485,0.000,0.000
2017-01-01 15:15:00+00:00,5.240,5.240,1.310,0.328,5.485,0.000,0.000
2017-01-01 15:30:00+00:00,5.390,5.390,1.347,0.337,5.485,0.000,0.000
2017-01-01 15:45:00+00:00,5.260,5.260,1.315,0.329,5.485,0.000,0.000
2017-01-01 16:00:00+00:00,5.215,5.215,1.304,0.326,5.485,0.000,0.000
2017-01-01 16:15:00+00:00,5.070,5.070,1.268,0.317,5.485,0.000,0.000
2017-01-01 16:30:00+00:00,5.770,5.770,1.442,0.361,5.770,0.285,28.500
2017-01-01 16:45:00+00:00,5.960,5.960,1.490,0.372,5.960,0.190,19.000
2017-01-01 17:00:00+00:00,5.155,5.155,1.289,0.322,5.960,0.000,0.000
2017-01-01 17:15:00+00:00,5.850,5.850,1.462,0.366,5.960,0.000,0.000
2017-01-01 17:30:00+00:00,5.150,5.150,1.288,0.322,5.960,0.000,0.000
2017-01-01 17:45:00+00:00,5.050,5.050,1.262,0.316,5.960,0.000,0.000
2017-01-01 18:00:00+00:00,4.910,4.910,1.228,0.307,5.960,0.000,0.000
2017-01-01 18:15:00+00:00,4.990,4.990,1.248,0.312,5.960,0.000,0.000
2017-01-01 18:30:00+00:00,4.930,4.930,1.232,0.308,5.960,0.000,0.000
2017-01-01 18:45:00+00:00,6.050,6.050,1.512,0.378,6.050,0.090,9.000
2017-01-01 19:00:00+00:00,5.235,5.235,1.309,0.327,6.050,0.000,0.000
2017-01-01 19:15:00+00:00,4.930,4.930,1.232,0.308,6.050,0.000,0.000
2017-01-01 19:30:00+00:00,6.010,6.010,1.502,0.376,6.050,0.000,0.000
2017-01-01 19:45:00+00:00,5.515,5.515,1.379,0.345,6.050,0.000,0.000
2017-01-01 20:00:00+00:00,5.680,5.680,1.420,0.355,6.050,0.000,0.000
2017-01-01 20:15:00+00:00,6.020,6.020,1.505,0.376,6.050,0.000,0.000
2017-01-01 20:30:00+00:00,5.425,5.425,1.356,0.339,6.050,0.000,0.000
2017-01-01 20:45:00+00:00,5.670,5.670,1.417,0.354,6.050,0.000,0.000
2017-01-01 21:00:00+00:00,5.350,5.350,1.337,0.334,6.050,0.000,0.000
2017-01-01 21:15:00+00:00,5.685,5.685,1.421,0.355,6.050,0.000,0.000
2017-01-01 21:30:00+00:00,5.095,5.095,1.274,0.318,6.050,0.000,0.000
2017-01-01 21:45:00+00:00,5.300,5.300,1.325,0.331,6.050,0.000,0.000
2017-01-01 22:00:00+00:00,5.560,5.560,1.390,0.347,6.050,0.000,0.000
2017-01-01 22:15:00+00:00,5.370,5.370,1.343,0.336,6.050,0.000,0.000
2017-01-01 22:30:00+00:00,6.725,6.725,1.681,0.420,6.725,0.675,67.500
2017-01-01 22:45:00+00:00,5.490,5.490,1.373,0.343,6.725,0.000,0.000
2017-01-01 23:00:00+00:00,4.510,4.510,1.127,0.282,6.725,0.000,0.000
2017-01-01 23:15:00+00:00,4.015,4.015,1.004,0.251,6.725,0.000,0.000
2017-01-01 23:30:00+00:00,4.425,4.425,1.106,0.277,6.725,0.000,0.000
2017-01-01 23:45:00+00:00,3.425,3.425,0.856,0.214,6.725,0.000,0.000
2017-01-02 00:00:00+00:00,3.360,3.360,0.840,0.210,6.725,0.000,0.000
2017-01-02 00:15:00+00:00,3.370,3.370,0.843,0.211,6.725,0.000,0.000
2017-01-02 00:30:00+00:00,3.670,3.670,0.917,0.229,6.725,0.000,0.000
2017-01-02 00:45:00+00:00,3.235,3.235,0.809,0.202,6.725,0.000,0.000
2017-01-02 01:00:00+00:00,3.480,3.480,0.870,0.217,6.725,0.000,0.000
2017-01-02 01:15:00+00:00,3.620,3.620,0.905,0.226,6.725,0.000,0.000
2017-01-02 01:30:00+00:00,3.335,3.335,0.834,0.208,6.725,0.000,0.000
2017-01-02 01:45:00+00:00,3.495,3.495,0.874,0.218,6.725,0.000,0.000
2017-01-02 02:00:00+00:00,3.185,3.185,0.796,0.199,6.725,0.000,0.000
2017-01-02 02:15:00+00:00,3.210,3.210,0.802,0.201,6.725,0.000,0.000
2017-01-02 02:30:00+00:00,3.115,3.115,0.779,0.195,6.725,0.000,0.000
2017-01-02 02:45:00+00:00,1.915,1.915,0.479,0.120,6.725,0.000,0.000
2017-01-02 03:00:00+00:00,1.485,1.485,0.371,0.093,6.725,0.000,0.000
2017-01-02 03:15:00+00:00,1.845,1.845,0.461,0.115,6.725,0.000,0.000
2017-01-02 03:30:00+00:00,2.715,2.715,0.679,0.170,6.725,0.000,0.000
2017-01-02 03:45:00+00:00,2.560,2.560,0.640,0.160,6.725,0.000,0.000
2017-01-02 04:00:00+00:00,2.205,2.205,0.551,0.138,6.725,0.000,0.000
2017-01-02 04:15:00+00:00,2.250,2.250,0.562,0.141,6.725,0.000,0.000
