timestamp_utc,load_kw,pv_kw,actual_battery_action_kw,grid_import_kw,grid_import_kwh,energy_cost_eur,grid_peak_so_far_kw,demand_increment_kw,demand_increment_cost_eur
2024-01-01 00:15:00+00:00,4.050,0.000,-4.050,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 00:30:00+00:00,3.770,0.000,-3.770,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 00:45:00+00:00,3.110,0.000,-3.110,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 01:00:00+00:00,1.990,0.000,-1.990,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 01:15:00+00:00,1.690,0.000,-1.690,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 01:30:00+00:00,1.565,0.000,-1.565,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 01:45:00+00:00,1.710,0.000,-1.710,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 02:00:00+00:00,1.510,0.000,-1.510,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 02:15:00+00:00,1.750,0.000,-1.750,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 02:30:00+00:00,1.670,0.000,-1.670,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 02:45:00+00:00,1.855,0.000,-1.855,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 03:00:00+00:00,1.570,0.000,-1.570,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 03:15:00+00:00,1.940,0.000,-1.940,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 03:30:00+00:00,3.600,0.000,-3.600,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 03:45:00+00:00,2.935,0.000,-2.935,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 04:00:00+00:00,1.705,0.000,-1.705,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 04:15:00+00:00,1.125,0.000,-1.125,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 04:30:00+00:00,1.125,0.000,-1.125,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 04:45:00+00:00,1.165,0.000,-1.165,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 05:00:00+00:00,1.225,0.000,-1.225,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 05:15:00+00:00,1.565,0.000,-1.565,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 05:30:00+00:00,1.860,0.000,-1.860,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 05:45:00+00:00,1.765,0.000,-1.765,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 06:00:00+00:00,1.565,0.000,-1.565,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 06:15:00+00:00,1.225,0.000,-1.225,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 06:30:00+00:00,3.580,0.000,-3.580,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 06:45:00+00:00,4.130,0.000,-4.130,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 07:00:00+00:00,3.815,0.000,-3.815,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 07:15:00+00:00,3.710,0.000,-3.710,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 07:30:00+00:00,4.700,0.179,-4.521,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 07:45:00+00:00,3.785,3.267,-0.518,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 08:00:00+00:00,3.800,6.727,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 08:15:00+00:00,4.010,9.478,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 08:30:00+00:00,4.070,11.347,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 08:45:00+00:00,3.670,13.871,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 09:00:00+00:00,3.730,15.692,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 09:15:00+00:00,5.125,17.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 09:30:00+00:00,5.485,10.672,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 09:45:00+00:00,5.345,3.241,-2.104,0.000,0.000,0.000,0.000,0.000,0.033
2024-01-01 10:00:00+00:00,4.965,4.138,-0.827,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 10:15:00+00:00,5.005,6.113,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 10:30:00+00:00,4.870,18.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 10:45:00+00:00,4.815,25.840,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 11:00:00+00:00,4.705,26.209,5.673,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 11:15:00+00:00,4.915,26.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 11:30:00+00:00,5.055,25.993,20.938,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 11:45:00+00:00,4.575,27.722,23.147,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 12:00:00+00:00,4.640,24.296,19.656,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 12:15:00+00:00,5.415,19.034,13.619,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 12:30:00+00:00,4.900,21.231,16.331,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 12:45:00+00:00,4.940,15.928,10.988,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 13:00:00+00:00,4.555,11.999,7.444,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 13:15:00+00:00,4.590,22.542,17.952,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 13:30:00+00:00,4.605,22.314,17.709,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 13:45:00+00:00,5.030,16.099,11.069,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 14:00:00+00:00,5.130,7.839,2.709,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 14:15:00+00:00,5.230,7.201,1.971,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 14:30:00+00:00,5.415,8.157,2.742,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 14:45:00+00:00,5.270,5.461,0.191,0.000,0.000,0.000,0.000,0.000,0.000
2024-01-01 15:00:00+00:00,5.205,2.634,-2.171,0.400,0.100,0.025,0.400,0.400,39.967
2024-01-01 15:15:00+00:00,5.240,0.711,-4.129,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 15:30:00+00:00,5.390,0.089,-4.901,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 15:45:00+00:00,5.260,0.000,-4.860,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 16:00:00+00:00,5.215,0.000,-4.815,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 16:15:00+00:00,5.070,0.000,-4.670,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 16:30:00+00:00,5.770,0.000,-5.370,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 16:45:00+00:00,5.960,0.000,-5.560,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 17:00:00+00:00,5.155,0.000,-4.755,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 17:15:00+00:00,5.850,0.000,-5.450,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 17:30:00+00:00,5.150,0.000,-4.750,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 17:45:00+00:00,5.050,0.000,-4.650,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 18:00:00+00:00,4.910,0.000,-4.510,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 18:15:00+00:00,4.990,0.000,-4.590,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 18:30:00+00:00,4.930,0.000,-4.530,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 18:45:00+00:00,6.050,0.000,-5.650,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 19:00:00+00:00,5.235,0.000,-4.835,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 19:15:00+00:00,4.930,0.000,-4.530,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 19:30:00+00:00,6.010,0.000,-5.610,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 19:45:00+00:00,5.515,0.000,-5.115,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 20:00:00+00:00,5.680,0.000,-5.280,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 20:15:00+00:00,6.020,0.000,-5.620,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 20:30:00+00:00,5.425,0.000,-5.025,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 20:45:00+00:00,5.670,0.000,-5.270,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 21:00:00+00:00,5.350,0.000,-4.950,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 21:15:00+00:00,5.685,0.000,-5.285,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 21:30:00+00:00,5.095,0.000,-4.695,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 21:45:00+00:00,5.300,0.000,-4.900,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 22:00:00+00:00,5.560,0.000,-5.160,0.400,0.100,0.025,0.400,0.000,0.000
2024-01-01 22:15:00+00:00,5.370,0.000,-4.970,0.400,0.100,0.025,0.400,0.000,0.000
